Name,Year,Program,Region,Gender,Age,Course_A,Course_B,Exam_Time,Quiz_Time
Student_48,Second Year,School A,East,Female,21,A,67,18.025,1:0
Student_49,Second Year,School A,West,Male,21,B,77,24.216,2:15
Student_50,First Year,School A,West,Male,18,B,84,20.309,2:45
Student_51,First Year,School A,East,Male,19,B,95,15.315,2:20
Student_52,Second Year,School A,East,Male,22,A,82,25.134,1:15
Student_53,First Year,School B,West,Female,21,A,90,18.181,2:45
Student_54,First Year,School A,East,Female,24,D,87,21.802,1:40
Student_55,Second Year,School A,East,Male,18,A,88,17.298,0:45
Student_56,First Year,School A,East,Male,22,C,84,16.524,0:10
Student_57,Second Year,School B,West,Male,20,B,83,22.274,2:15
Student_58,First Year,School A,East,Male,20,A,72,16.889,0:40
Student_59,First Year,School A,East,Male,22,B,61,20.761,1:10
Student_60,First Year,School B,West,Female,22,C,85,19.264,2:10
Student_61,Second Year,School B,East,Male,19,C,77,23.364,1:40
Student_62,First Year,School A,East,Male,20,D,72,17.548,0:25
Student_63,First Year,School B,West,Female,19,D,61,17.249,0:40
Student_64,First Year,School A,East,Male,19,C,84,24.631,2:30
Student_65,Second Year,School A,East,Female,23,C,97,21.314,2:45
Student_66,First Year,School B,West,Female,22,D,90,23.083,1:35
Student_67,First Year,School B,East,Female,21,A,89,19.259,0:30
Student_68,First Year,School B,West,Female,25,C,70,25.094,1:0
Student_69,First Year,School A,West,Female,23,D,74,17.034,2:35
Student_70,First Year,School B,West,Female,24,A,70,20.427,0:25
Student_71,First Year,School B,West,Male,24,C,61,16.53,2:30
Student_72,First Year,School A,West,Female,23,B,75,23.444,1:30
Student_73,First Year,School A,West,Male,24,B,90,22.59,2:50
Student_74,First Year,School A,East,Male,20,C,74,20.479,0:20
Student_75,First Year,School A,East,Male,24,D,84,16.19,2:5
Student_76,First Year,School A,East,Male,18,B,99,20.34,2:5
Student_77,Second Year,School B,West,Male,19,A,60,25.106,1:0
Student_78,Second Year,School A,West,Male,23,D,61,23.556,2:30
Student_79,First Year,School B,West,Female,21,A,99,19.616,1:15
Student_80,Second Year,School A,East,Male,22,B,83,21.215,2:50
Student_81,First Year,School A,West,Female,18,C,100,15.557,1:35
Student_82,First Year,School A,East,Male,23,B,74,25.235,0:15
Student_83,Second Year,School A,West,Female,21,B,77,17.362,0:5
Student_84,Second Year,School B,West,Male,25,D,70,21.899,1:15
Student_85,Second Year,School B,West,Male,19,B,65,15.737,1:40
Student_86,First Year,School B,East,Male,18,A,71,24.029,2:5
Student_87,Second Year,School B,West,Female,25,B,84,24.391,2:40
Student_88,First Year,School A,East,Male,19,B,92,16.827,2:40
Student_89,Second Year,School A,West,Female,22,C,93,18.988,0:30
Student_90,Second Year,School A,West,Female,19,B,84,19.677,2:40
Student_91,Second Year,School B,West,Female,19,B,77,25.152,2:25
Student_92,Second Year,School A,East,Female,23,B,80,18.867,0:10
Student_93,First Year,School A,East,Male,21,B,90,21.342,0:30
Student_94,Second Year,School A,East,Male,23,A,71,22.317,1:45
Student_95,First Year,School A,West,Male,25,C,74,15.28,0:10
Student_96,Second Year,School A,West,Male,22,A,87,23.706,1:15
Student_97,First Year,School A,West,Male,21,B,63,16.063,2:0
Student_98,First Year,School B,West,Female,18,D,93,22.557,0:5
Student_99,First Year,School B,East,Male,20,C,75,24.286,0:20
Student_100,First Year,School B,West,Male,23,B,82,16.971,0:0
